tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,34738,7279,9006261,145403,2017-08-01 16:23:56+00:00
892177421306343426,30109,5444,9006261,145403,2017-08-01 00:17:27+00:00
891815181378084864,22661,3585,9006261,145403,2017-07-31 00:18:03+00:00
891689557279858688,38003,7466,9006261,145403,2017-07-30 15:58:51+00:00
891327558926688256,36284,8029,9006261,145403,2017-07-29 16:00:24+00:00
891087950875897856,18297,2691,9006261,145403,2017-07-29 00:08:17+00:00
890971913173991426,10657,1736,9006261,145403,2017-07-28 16:27:12+00:00
890729181411237888,58515,16344,9006261,145403,2017-07-28 00:22:40+00:00
890609185150312448,25210,3736,9006261,145403,2017-07-27 16:25:51+00:00
890240255349198849,28735,6308,9006261,145403,2017-07-26 15:59:51+00:00
890006608113172480,27751,6345,9006261,145403,2017-07-26 00:31:25+00:00
889880896479866881,25235,4312,9006261,145403,2017-07-25 16:11:53+00:00
889665388333682689,43276,8638,9006261,145403,2017-07-25 01:55:32+00:00
889638837579907072,24332,3859,9006261,145403,2017-07-25 00:10:02+00:00
889531135344209921,13705,1946,9006261,145403,2017-07-24 17:02:04+00:00
889278841981685760,22707,4607,9006261,145403,2017-07-24 00:19:32+00:00
888917238123831296,26294,3872,9006261,145403,2017-07-23 00:22:39+00:00
888804989199671297,23081,3668,9006261,145403,2017-07-22 16:56:37+00:00
888554962724278272,17804,2978,9006261,145403,2017-07-22 00:23:06+00:00
888078434458587136,19683,3003,9006261,145403,2017-07-20 16:49:33+00:00
887705289381826560,27352,4677,9006261,145403,2017-07-19 16:06:48+00:00
887517139158093824,41832,10174,9006261,145403,2017-07-19 03:39:09+00:00
887473957103951883,61905,15551,9006261,145403,2017-07-19 00:47:34+00:00
887343217045368832,30363,9117,9006261,145403,2017-07-18 16:08:03+00:00
887101392804085760,27698,5158,9006261,145403,2017-07-18 00:07:08+00:00
886983233522544640,31332,6604,9006261,145403,2017-07-17 16:17:36+00:00
886736880519319552,10789,2738,9006261,145403,2017-07-16 23:58:41+00:00
886680336477933568,20306,3871,9006261,145403,2017-07-16 20:14:00+00:00
886366144734445568,19069,2727,9006261,145403,2017-07-15 23:25:31+00:00
886267009285017600,105,3,9006261,145403,2017-07-15 16:51:35+00:00
886258384151887873,25258,5468,9006261,145403,2017-07-15 16:17:19+00:00
886054160059072513,0,95,9006261,145403,2017-07-15 02:45:48+00:00
885984800019947520,29391,5810,9006261,145403,2017-07-14 22:10:11+00:00
885528943205470208,32480,5528,9006261,145403,2017-07-13 15:58:47+00:00
885518971528720385,18500,3221,9006261,145403,2017-07-13 15:19:09+00:00
885311592912609280,0,15974,9006261,145403,2017-07-13 01:35:06+00:00
885167619883638784,19736,3784,9006261,145403,2017-07-12 16:03:00+00:00
884925521741709313,69285,15584,9006261,145403,2017-07-12 00:01:00+00:00
884876753390489601,25100,4829,9006261,145403,2017-07-11 20:47:12+00:00
884562892145688576,21924,4053,9006261,145403,2017-07-11 00:00:02+00:00
884441805382717440,24513,4940,9006261,145403,2017-07-10 15:58:53+00:00
884247878851493888,65265,17559,9006261,145403,2017-07-10 03:08:17+00:00
